Economy Name,Country,Composite_Score,Health,Ecosystems,Waste,Climate
Afghanistan,Afghanistan,0.014702421264310372,-0.8295724545130911,-0.37398527123870334,-0.6107548793545712,1.873122290163607
Albania,Albania,0.10317651923865373,-0.050589722777160985,0.13434018230644143,-0.05861575489740958,0.387571372322744
Algeria,Algeria,-0.4884926694431989,-0.12530097641288437,-0.5009783806342045,-0.8961872315800836,-0.4315040891456232
Andorra,Andorra,0.31701034991991944,1.6057710810665986,0.9311016188626114,-0.5611975798196016,-0.7076337204299306
Angola,Angola,-0.3010562881109382,-0.9886425408019467,-0.24568376565202238,-0.27458456692363103,0.3046857209338473
Antigua and Barbuda,Antigua and Barbuda,0.03151753861190511,0.38232957710432114,-0.0032585154451506976,0.17795762522535447,-0.43095853243690446
Argentina,Argentina,-0.3844351373529139,0.5364927594160784,-0.3885254471279661,-0.913971227995397,-0.7717366337043708
Armenia,Armenia,0.12796655975115284,-0.1278587673264186,0.7407236686307128,-0.4640199827300881,0.3630213204304053
Aruba,Aruba,0.22148320192588997,0.707493484128058,0.5209805685402895,0.563869959120414,-0.9064112040852016
Australia,Australia,0.4532350745828514,1.5368958608163228,0.20333037905167933,2.091749201643939,-2.0190351431805356
Austria,Austria,0.4024484292485268,1.3806452379749625,0.3583746166899888,1.0387795082449462,-1.1680056459157904
Azerbaijan,Azerbaijan,-0.3178333544969325,-0.5014485929724561,-0.08201311204660061,-0.3458778923892444,-0.34199382057942895
"Bahamas, The","Bahamas, The",0.21959994206748934,0.4046698148005592,0.5540671062268471,0.4082945174582837,-0.48863167021573256
Bahrain,Bahrain,-0.17052724456239268,0.01503602180807656,-0.4619810282566086,-0.22911617878328233,-0.00604779301775636
Bangladesh,Bangladesh,-0.10421403355248182,-1.0621611442080283,-0.24041051946907369,-0.5908260017943167,1.4765415312614913
Barbados,Barbados,-0.19781067653053674,0.6467371256914469,-0.8255718432197867,-0.40263373320597495,-0.2097742553878323
Belarus,Belarus,-0.22172773850820207,0.2635374797598771,-0.042618653110798196,0.05620109492752459,-1.1640308756094118
Belgium,Belgium,0.1261080352734622,1.1940066092158288,-0.31150328032328545,0.8167446735169835,-1.194815861315678
Belize,Belize,-0.010000532570288642,-0.1635064951514644,0.3288043593764091,-0.5311844904072998,0.32588449590120044
Benin,Benin,0.7448194522801537,-1.0167210254223564,0.17696351916713046,2.3893726927278163,1.4296626226480245
Bermuda,Bermuda,0.39756468315380944,0.842025708916734,-0.029198724772694473,-0.056268622406215385,0.8337003708774136
Bhutan,Bhutan,-0.27982846276190493,-0.8101143214240479,0.4908314120901987,-1.0377690608205732,0.23773811910680268
Bolivia,Bolivia,0.015574746513576654,-0.42655929735469034,0.5428844019041847,0.9320363650629354,-0.9860624835581231
Bosnia and Herzegovina,Bosnia and Herzegovina,-0.37489575915310236,-0.14799855635220374,-0.6183124146870014,0.1259095148714975,-0.8591815804447019
Botswana,Botswana,-0.10249821441509047,-0.9479826459120975,1.0124180903190094,-0.168986780971994,-0.30544152109527983
Brazil,Brazil,-0.4140368842696314,-0.007264438806322524,0.20317653736657246,-1.4885942617376344,-0.36346537390114103
British Virgin Islands,British Virgin Islands,-0.1671344019348541,0.49475535036657053,-0.50943705521878,-0.09379527216566935,-0.5600606307215376
Brunei Darussalam,Brunei Darussalam,0.42972684752631685,0.9884086730814594,0.6498398102084663,0.08670669983309787,-0.00604779301775636
Bulgaria,Bulgaria,0.03784611363144594,0.02760863408491713,0.26321702868986036,0.6093820436891944,-0.7488232519381881
Burkina Faso,Burkina Faso,0.036332584794524725,-1.0625590806537544,-0.17551980032550313,0.1947657577539607,1.1886434624033957
Burundi,Burundi,-0.10032151132159545,-1.0092806224727437,-0.5166416290508078,-0.7484860839264376,1.873122290163607
Cabo Verde,Cabo Verde,-0.02558383146113291,-0.34914395325081055,-0.9947601048012246,0.00931970144295291,1.2322490307645506
Cambodia,Cambodia,-0.1911029887573542,-0.6465297391682734,-0.19954218667440835,-0.5876914415626577,0.6693514123759225
Cameroon,Cameroon,-0.21337194473501048,-1.2092896449875499,0.13088968084382557,-1.0595544162525101,1.2844666014561923
Canada,Canada,0.06232786387346734,1.5655373775509007,0.5031692468642807,0.10237500676195667,-1.9217701756832688
Cayman Islands,Cayman Islands,-0.12697105386897872,0.0888246866863644,0.33477562484362977,-0.01809799071637641,-0.9133865362895326
Central African Republic,Central African Republic,-0.09451765762914796,-0.7037665610044717,0.8664392782486563,-0.6357404508649802,0.09499710310420374
Chad,Chad,-0.2895393979000941,-0.5400570256834809,0.06618485015646178,-0.5651904793418308,-0.11909493673152659
Chile,Chile,-0.26573163531826893,0.8057032493892078,-0.1320543187492223,-1.3102931398366022,-0.4262823320764591
China,China,-0.6129212199732481,-0.3731732808341056,-1.0608265087755857,-0.10967618440828097,-0.9080089058750203
Colombia,Colombia,0.2753700281581622,0.2422362556088613,0.29007389148555596,0.4715230155631088,0.09764694997512277
Comoros,Comoros,0.29216003761284426,-0.6251349210112715,0.5012329358176745,-0.5339350559231888,1.826477191568163
"Congo, Dem. Rep.","Congo, Dem. Rep.",0.10842204552138107,-0.9968201564933985,0.44457673787077734,-0.8871906894554616,1.873122290163607
