Country,Composite_Score,Health,Ecosystems,Waste,Climate,Rank
Samoa,0.9184562107236691,-0.048460780503958356,0.33316319968749575,2.8148927203339453,0.5742297033771935,1
Iceland,0.8775609859794935,1.8290496670731364,0.637307719983222,2.501816625125027,-1.4579300682634118,2
Greenland,0.8133861081851633,0.7387193954642931,1.5042351431955803,1.1695104705487673,-0.1589205764679874,3
Benin,0.7448194522801537,-1.0167210254223564,0.17696351916713046,2.3893726927278163,1.4296626226480245,4
"Korea, Rep.",0.7418117045736012,1.2461035178894806,0.1623207384654453,2.9369065090482844,-1.3780839471088047,5
Liechtenstein,0.6795054098253034,0.2984870212661572,0.39558831529998406,2.222497677257835,-0.19855137452276292,6
Sweden,0.6746211080856592,1.8317632994071413,0.022581270548872656,1.3482029937918258,-0.5040631314052028,7
Germany,0.6318785581228721,1.4817784934250764,0.2176062792263041,1.8673057858256246,-1.0391763259855167,8
Sao Tome and Principe,0.5964139673543012,-0.6341485001154238,1.2872637611469524,-0.12970951593989508,1.8622501243255714,9
Singapore,0.5337295766654976,1.3392187887797686,-0.10752628453936694,2.04629171308167,-1.1430659106600811,10
Monaco,0.527906244853052,1.4916810845552706,-0.019418980851556304,0.6454106687262505,-0.00604779301775636,11
Vanuatu,0.5173113292355844,-0.6571811280913228,-0.2428854288753757,2.3386560195158,0.6306558543932362,12
Philippines,0.5067529579908986,-0.35063860680337466,-0.06840935433120833,1.5760604169228056,0.8699993761753718,13
Norway,0.494682925684068,1.7783413139140687,0.6309116053388838,1.1146199884690402,-1.5451412049857205,14
Italy,0.48835855134254824,1.2895487375759775,0.1005420012764695,1.105478662524243,-0.5421351960064967,15
San Marino,0.4810015880231956,1.6040484608651826,0.2981193330782716,0.3842907553057061,-0.362452197156378,16
Switzerland,0.47782506586118667,1.6478497421924985,-0.13429978500308265,0.655689425355752,-0.2579391191004209,17
United Kingdom,0.474619262156572,1.6359269078574519,0.10144455201189492,0.7819957925006071,-0.6208902037436662,18
Australia,0.4532350745828514,1.5368958608163228,0.20333037905167933,2.091749201643939,-2.0190351431805356,19
France,0.4528070922633884,1.504189800172811,0.20823078767674635,0.6580111085261188,-0.5592033273221226,20
Finland,0.4391310357174097,1.9293776261818527,0.11704337810866153,1.087173908943166,-1.3770707703640415,21
Luxembourg,0.43878556779160327,1.6026826718645464,0.29026167012442944,1.56890185661655,-1.7067039274391127,22
Brunei Darussalam,0.42972684752631685,0.9884086730814594,0.6498398102084663,0.08670669983309787,-0.00604779301775636,23
Denmark,0.41964389105253075,1.5924803032493005,-0.13127969774400805,1.0018932067277524,-0.7845182480229219,24
Austria,0.4024484292485268,1.3806452379749625,0.3583746166899888,1.0387795082449462,-1.1680056459157904,25
Ireland,0.4006274341797897,1.6202258245882557,-0.11482756085522083,1.495809670017226,-1.3986981970311023,26
Bermuda,0.39756468315380944,0.842025708916734,-0.029198724772694473,-0.056268622406215385,0.8337003708774136,27
Seychelles,0.3856612701309419,0.35264919377442216,0.8550265668809172,0.6063525150051301,-0.27138319513670167,28
Malta,0.3815687973867197,1.0718025266497795,1.181963146762107,-0.44036408084813944,-0.2871264030168683,29
Sri Lanka,0.36619341869204053,0.006548218496512649,0.16941745081858028,0.11134845557840534,1.1774595498746638,30
Tuvalu,0.35150543053000155,-0.038237044760843594,0.1490228323921624,0.3282833375067449,0.9669525969819425,31
Marshall Islands,0.339490547053221,-0.33869368242195375,-0.4102710317311846,1.6631631890452578,0.4437637133207645,32
Uganda,0.3295194960420542,-0.8160793235214505,0.1532732748530462,0.2902504617394002,1.690633571097221,33
Andorra,0.31701034991991944,1.6057710810665986,0.9311016188626114,-0.5611975798196016,-0.7076337204299306,34
New Caledonia,0.31458938869488173,1.4867280646393295,0.712063060654281,0.5829438186273969,-1.5233773891414804,35
Kiribati,0.30580010323848794,-0.9118717136848555,0.43488301403759344,-0.1151041664382173,1.8152932790394312,36
Comoros,0.29216003761284426,-0.6251349210112715,0.5012329358176745,-0.5339350559231888,1.826477191568163,37
Moldova,0.2875176941887977,-0.04138988489392814,-0.4783682193298808,1.260552145316521,0.4092767356624787,38
Colombia,0.2753700281581622,0.2422362556088613,0.29007389148555596,0.4715230155631088,0.09764694997512277,39
Spain,0.27524429717883825,1.2231812790276786,0.0519669429210044,0.3958654915904912,-0.5700365248238213,40
Latvia,0.2704587501304672,0.4970211294355727,0.29264967525173563,0.8446260009703745,-0.5524618051358139,41
Lithuania,0.2448270463278502,0.6237616691415169,0.1880872267899247,1.1332582380428184,-0.9657989486628592,42
"Micronesia, Fed. Sts.",0.2338233356728869,-0.37808130040011767,0.6482047054455964,-0.2730629954554704,0.9382329331015393,43
Turks and Caicos Islands,0.22740891275596664,-0.098419509324148,0.5856100530881587,0.8671984307600749,-0.44475332350021896,44
Czechia,0.22242291971107192,0.7385638138776717,0.16104541644160225,1.1951080139609978,-1.205025565435984,45
