PC,Explained_Variance,Cumulative_Variance
1,0.37565476152803456,0.37565476152803456
2,0.15077089701113905,0.5264256585391736
3,0.10758408291957672,0.6340097414587502
4,0.07644141289716887,0.7104511543559191
5,0.060714002548554566,0.7711651569044736
6,0.05726563667460007,0.8284307935790737
7,0.04585086860760366,0.8742816621866774
