Feature,Importance
Unsafe drinking water,0.43714619205212635
Unsafe sanitation,0.43441140194486705
Household solid fuels,0.4144732637148932
Lead exposure,0.3914895085708575
Greenhouse gas emissions per capita,0.37899712555969867
PM2.5 exposure,0.33452207706991366
Terrestrial biome protection (global weights),0.1634722091998853
Tree cover loss,0.06953046425835611
SO2 exposure,0.0640419173011737
Ocean Plastics,0.062199911363353115
Biodiversity Habitat Index,0.008132217625984314
